id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5143854392544294,PioQTaFT0,1746221281,比亚迪汽车,#天神之眼开创全民智驾时代#高快领航、智能泊车、主动安全、记忆领航10万级全系标配高阶智驾智慧出行一触即达#全民智驾加配不加价#L比亚迪汽车的微博视频,,,,"天神之眼开创全民智驾时代,全民智驾加配不加价",14,37,166,2025-03-13 21:51,微博视频号,,"http://f.video.weibocdn.com/u0/MvT8CpZDgx08mEkwJ4ZO01041201Du8p0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723669&ssig=Tori1Veqd2&KID=unistore,video",,广东,蓝V
5143682521236467,PiknG5bF1,5997060147,羊角锤是我,零跑B10预售1小时订单破1万5千辆，激光雷达智驾版占比73%，零跑冲击高阶智驾野心藏不住了！3月10日，零跑B10正式开启预售，12.98万就能买到带激光雷达的车型，刷新了行业激光雷达车型价格下限。2025年开年，当各车企还在为「智驾硬件该不该多花钱」争论不休，个别车企拿激光雷达标榜智驾高端豪华时，零跑B10直接把激光雷达塞进了12万级SUV里，反手把激光雷达这一「高端」、「昂贵」的智驾配置打成了「日用品」。这下，估计个别车企的市场部门要连夜开小会了。不止激光雷达，8650智驾芯片和8295座舱芯片，零跑B10都有。目前自动泊车、高速NOA、通勤智驾、座舱DeepSeek，零跑B10全都有。这套智能化配置和功能，搁去年至少二十万打底，前阵子刚发布的广汽丰田铂智3X都要14万。目前B10已经配置了中阶城区智驾。可以发现，零跑的智能化是有节奏感的，第一是「用时间换空间」，高阶智驾的硬件先配齐，再为软件升级留足空间。第二就是智驾领跑只做两头，要么普通L2，要么高阶智驾，不会只做高速NOA。快和准，就是零跑最大的特色。零跑B10预售1小时订单破15010台。朱江明乐的发微博报喜：这是零跑产品发布一小时订单最多的一次。有人说，零跑用性价比突围新势力后，缺乏新的「长板」。现在看来，高阶智驾，也有可能成为零跑下一个「长板」。按零跑的规划，最快今年之内会配置高阶城区智驾，并且免费OTA。L羊角锤是我的微博视频,,,,,6,26,56,2025-03-13 10:29,微博视频号,,"http://f.video.weibocdn.com/o0/gg026If1lx08mCzfEo8M01041200vhSu0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723669&ssig=ouro5DXRjz&KID=unistore,video",,浙江,红V
5143856018886917,PioTvBhTn,6288169783,旺仔百事通,各家都在厮杀，蔚来一片岁月静好蔚来有啥？有换电！还有啥？有价值观！卷价格、卷产品力、卷智驾，蔚来：是吗？智驾肯定会有人说，我们直接跳过了端到端初级，我们用上了世界模型。智驾一定是需要数据和算力支持的……先别有大期望，就不会有大失望不过也无所谓了，毕竟去年下半年还说高速智驾无图化，目前一丝一毫没看到。嗯，不够领先就不释放，后面一直不领先要不一直不释放？车是拿来开的，智驾不重要。2025年了，你自己买车的时候没智驾或者智驾不好用的时候不会犹豫吗？乐道L60出了多久了，更新了几次，一只手都能数过来吧。蔚来那么多车型，研发那么多人。不信软件部门几个月连一点更新都做不出来。ET5T截止到目前，快半年了，更了3.1.0和修复版。智驾做不行，所以软件其他功能或者特性也不更新修复了是吧车道级导航这么困难吗？更新一点消息都没有啊，哈哈哈哈哈哈哈，合着以前领航团全当画饼了理想现在千人团每天都在更新智驾模型，提出的就是哪里智驾不好用哪里就点击上报。去攻击智驾行驶不好的地方，去解决它。要的是理想的决策速度和办事速度，每天更、每周更、每月更，消费者是看得到的，一年快过去了，现在谁还说理想智驾不行？蔚来长期主义盛行，那星光团多久没更新了，不是说要一周一更。闭门造智驾，出来一定好用一片岁月静好～,,,,,2,25,58,2025-03-13 21:58,Xiaomi 15 Ultra,,,,山东,金V
5143838965369414,Pios0mwPs,1796445350,锋潮科技,全体起立！何小鹏杀疯了，新款小鹏G6，标配5C电池，标配高阶智驾，然后17.68万起......是真卷啊。2025款小鹏G6价格：17.68-19.88万。全系标配5C超充AI电池、全系标配高通骁龙SA8295P芯片，全系标配图灵AI智驾，续航里程625km/725km。何小鹏：你在小鹏汽车上花的每一分钱，买的都是实实在在的产品力。,,,,,16,49,139,2025-03-13 20:50,微博网页版,"https://wx1.sinaimg.cn/large/001XzHv0gy1hzfmqydmrdj619k0joqhz02.jpg,https://wx2.sinaimg.cn/large/001XzHv0gy1hzfmqzu5odj617x0kyk9r02.jpg,https://wx3.sinaimg.cn/large/001XzHv0gy1hzfmr1a40aj618d0mx7o802.jpg,https://wx2.sinaimg.cn/large/001XzHv0gy1hzfmr2w8y3j61780l1wz702.jpg,https://wx3.sinaimg.cn/large/001XzHv0gy1hzfmsmcrioj61be0zktau02.jpg,https://wx1.sinaimg.cn/large/001XzHv0gy1hzfmse5osfj63342bc7wi02.jpg,https://wx1.sinaimg.cn/large/001XzHv0gy1hzfmsfy6w4j61bf0zk42p02.jpg",,,广东,金V
5143853447514709,PioPmvwUZ,1851057263,楚沐风,定了小鹏G6，做智驾视频栏目，第一梯队的车都得有。#全新小鹏G6和G9今日上市##全新小鹏G6和G9价格真香#,,,,"全新小鹏G6和G9今日上市,全新小鹏G6和G9价格真香",72,58,140,2025-03-13 21:48,,"https://wx4.sinaimg.cn/large/6e54e46fgy1hzfoircrdnj20xi1hf460.jpg,https://wx3.sinaimg.cn/large/6e54e46fgy1hzfoiqsvr6j20xi20unf6.jpg",,,江苏,红V
5143843591160108,Piozt4RNq,5140552811,科技怪杰,讲真，以后提到智驾，第一个想到的必须是小鹏吧？一家敢把全场景智驾直接标配的车企，这魄力谁比得上？更别说这些技术还都是小鹏中国首发的，妥妥的引领者啊！我甚至在想，以后会不会所有车企的智驾系统都得找小鹏合作？哈哈，小鹏变身智驾供应商？想想就刺激！#全新小鹏G6从未见过如此换代##小鹏G6价格##全新小鹏G6和G9价格真香#,,,,"全新小鹏G6从未见过如此换代,小鹏G6价格,全新小鹏G6和G9价格真香",69,155,175,2025-03-13 21:09,,"https://wx1.sinaimg.cn/large/005BTeC7ly1hzfndx9m2uj30qo0bamy7.jpg,https://wx4.sinaimg.cn/large/005BTeC7ly1hzfndxukmfj30qo0cbjs8.jpg,https://wx3.sinaimg.cn/large/005BTeC7ly1hzfndy192ej30qo0ewdgh.jpg",,,陕西,金V
5143853086805269,PioOMsymp,3194397971,长安启源,每当路况多变，难免开车焦虑？有了天枢智驾视觉版高速领航、智能泊车、主动安全开车原来如此省心！#长安启源Q07##全家人的智能SUV##数智启源向美好跃迁##天枢智驾一路长#,,,,"长安启源Q07,全家人的智能SUV ,数智启源向美好跃迁,天枢智驾一路长",113,19,121,2025-03-13 21:46,微博网页版,"https://wx4.sinaimg.cn/large/be66a513ly1hzfk7oywekj20v91voh5i.jpg,https://wx2.sinaimg.cn/large/be66a513ly1hzfk7p4d99j20v91vokgx.jpg,https://wx1.sinaimg.cn/large/be66a513ly1hzfk7p6aeqj20v91vohdt.jpg",,,重庆,蓝V
5143842090651255,Piox32Jq7,5128606465,Hey贝塔,#全新小鹏G6和G9价格真香#小鹏总是在说科技平权，显然他也一直在坚持这个理念，何为科技平权？我的理解是在车上花的每一分钱，买的都是实实在在的产品力，让科技功能不再是昂贵溢价的专享，每一个买车的用户都能享受到科技带来的便捷。小鹏真的一直努力在做好这件事，全新小鹏G6不光在续航、充电速度、底盘、空间上更优秀，还标配了超越友商单卖大几万智驾的图灵AI智驾，在定价上也是相当有诚意，真正的科技平权、智驾普惠。,,,,全新小鹏G6和G9价格真香,128,135,149,2025-03-13 21:03,微博网页版,"https://wx2.sinaimg.cn/large/005B56P7ly1hzfn7ne4p1j33402c0npf.jpg,https://wx3.sinaimg.cn/large/005B56P7ly1hzfn7ndbbsj33402c0b2b.jpg,https://wx3.sinaimg.cn/large/005B56P7ly1hzfn7mv80dj31be0zjajn.jpg,https://wx4.sinaimg.cn/large/005B56P7ly1hzfn7mtf87j32yo1o0hdt.jpg",,,浙江,红V
5143879238551641,PipuXzSFH,6406826296,影总Tim,有人用manus给LiAD做的一个对比网站O网页链接，各位可以点看看吧。做得真好，MANUS虽然牛皮吹的大，但是做这些工作确实很好用#影总聊智驾#,,,,影总聊智驾,4,3,21,2025-03-13 23:30,微博网页版,"https://wx2.sinaimg.cn/large/006ZAoc0ly1hzfrh0h4g1j312i0ufn5d.jpg,https://wx3.sinaimg.cn/large/006ZAoc0ly1hzfrh0hq4gj31260u6k1c.jpg,https://wx3.sinaimg.cn/large/006ZAoc0ly1hzfrh0i1kej311w0zv48h.jpg,https://wx1.sinaimg.cn/large/006ZAoc0ly1hzfrh0hm77j30r70vd46h.jpg",,,浙江,金V
5143850759491578,PioL1DPbY,6406826296,影总Tim,7.2B3来了🤗模型日更后，基座今天小更一下#影总聊智驾##理想次世代端到端智能驾驶##大v聊车#,,,,"影总聊智驾,理想次世代端到端智能驾驶,大v聊车",1,7,15,2025-03-13 21:37,iPhone 16 Pro Max,"https://wx4.sinaimg.cn/large/006ZAoc0gy1hzfo5x36koj310o27oqjt.jpg,https://wx4.sinaimg.cn/large/006ZAoc0gy1hzfo7d3yqhj310o0v6q4p.jpg",,,浙江,金V
