id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5037510677759188,OfJP5wywc,6524692480,极速拍档Speedsters,#极速之旅#北极篇【第四集】——穿越世界最危险公路。在阿拉斯加，有一条被誉为世界最危险公路之一的道顿公路，它也是阿拉斯加唯一一条能够穿越北极圈的公路。在这一集，@极速拍档-小乔和@极速拍档-Berlin驾驶#理想L9#继续往北出发，沿着道顿公路前往他们旅程的目的地——北冰洋。#中国新能源车穿越北极圈#，跟我们一起穿越世界最危险公路！第一集回顾：微博正文第二集回顾：微博正文第三集回顾：微博正文L极速拍档Speedsters的微博视频O抽奖详情,,,"极速拍档-小乔,极速拍档-Berlin","极速之旅,理想L9,中国新能源车穿越北极圈",537,1279,1280,2024-05-24 11:00,微博视频号,,"http://f.video.weibocdn.com/u0/sWzUWnpQgx08f5HmsAVa0104120fcEY20E060.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723489&ssig=wfWduJlNpA&KID=unistore,video",,广东,金V
5037609141668974,OfMnU70aW,7762168725,MetaAuto,上市一周锁单10000（非龙晶），奠定了智己L6上轿车市场牌桌的资格。而L6也保留了智己这个品牌一贯的极致作风——艺术+性能+智能。这是一台铿锵有力，能“站着把钱挣了”的车子。这台以法国著名印象派画家西斯莱命名车漆颜色的L6，标配后轮转向、OrinX和激光雷达，拥有2.74秒的百公里加速性能和4.99米的转弯半径以及城市去高精地图NOA能力。最后，MetaAuto全体成员祝各位#Meta影业#观众在这个充满PUA的年代，都能站着把钱挣了。新能源汽车超话#智己L6#LMetaAuto的微博视频,,,,"Meta影业,智己L6",220,145,497,2024-05-24 17:31,微博视频号,,"http://f.video.weibocdn.com/o0/z8d4Dn2tlx08f6HFhyK401041202cN1V0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723489&ssig=A0DopP%2BOhP&KID=unistore,video",,上海,金V
5037631215502922,OfMXvn5yO,1708942053,红衣大叔周鸿祎,我买的第一辆新能源车交付了，喜提陆地公务机极氪009光辉版#极氪##新能源汽车##红衣新能源#L周鸿祎的微博视频,,,,"极氪,新能源汽车,红衣新能源",38,66,503,2024-05-24 18:58,微博视频号,,"http://f.video.weibocdn.com/o0/Sbsa04s8lx08f6NGK15K01041201WWbO0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723489&ssig=Eoo8pugsUv&KID=unistore,video",,北京,金V
5037676632479994,OfO8Lap9U,1842353567,丘游志在,香港人玩车有句话，就是玩到最后都终究逃不过一辆MPV，他们叫7人车。我曾经有一个愿望，就是开着我们自己国产品牌的车子，去香港转转。时隔多年，没想到我和车友蔡哥还有@呆呆竟然开着一辆两地牌的理想MEGA，来到香港这座MPV之城，跟随我的镜头来体验国产新能源的港式Citywalk吧，求看到最后。此片献给所有【新能源造车品牌】，愿团结一致，百花齐放，走向世界。#理想MEGA##公路高铁开进香港#L丘游志在的微博视频,,,呆呆,"理想MEGA,公路高铁开进香港",228,181,760,2024-05-24 21:59,微博视频号,,"http://f.video.weibocdn.com/u0/e8lyUbzWgx08f703Eo0w0104120j2oxI0E070.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723489&ssig=t60jQXR4oX&KID=unistore,video",,广东,红V
5037570650540992,OfLnP2gJG,2107493602,楚斌top,台湾新能源汽车市场看来还是很落后啊，台湾大学教授体验了咱们的蔚来之后，直呼不得了，就跟谈恋爱一样。#台湾当归##联合国称台湾是中国的一个省#L楚斌top的微博视频,,,,"台湾当归,联合国称台湾是中国的一个省",52,99,459,2024-05-24 14:58,iPhone 14 Pro Max,,"http://f.video.weibocdn.com/o0/zGdFd1oYlx08f6wWADnq01041200iVkV0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723489&ssig=Otc9s2a47I&KID=unistore,video",,吉林,金V
5037532854879061,OfKoRktgx,1708942053,红衣大叔周鸿祎,为什么选择租公务机去宁波探厂极氪？#极氪##新能源汽车##红衣新能源#L周鸿祎的微博视频,,,,"极氪,新能源汽车,红衣新能源",24,28,208,2024-05-24 12:28,微博视频号,,"http://f.video.weibocdn.com/o0/8ECMKZ1mlx08f6mQA21W01041201Ch5D0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723489&ssig=EBH33BzDJT&KID=unistore,video",,北京,金V
5037504719228606,OfJFtCIMu,5758876511,传奇韭菜月半,前几天开着智己L6Max超强性能版和极氪007性能版去北京路况最复杂的小区转了一圈现在的国产车新能源辅助类科技配置做的很棒360影像清晰补盲镜头能在狭窄的空间提供帮助智己L6全系配备的后轮转向很强20-30万售价区间的车配备后轮转向是很超纲的存在#智己L6统统标配19.99万起##智己L6爆品发布会##科技王炸智己L6终于来了#L传奇韭菜月半的微博视频,,,,"智己L6统统标配19.99万起,智己L6爆品发布会,科技王炸智己L6终于来了",40,145,720,2024-05-24 10:36,微博视频号,,"http://f.video.weibocdn.com/o0/jxwNfMgglx08f5o8M26Q0104120b0nwO0E040.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723489&ssig=mrKP2PPoYk&KID=unistore,video",,北京,红V
5037510204064361,OfJOkh3kd,6739163134,电动车公社哔哔机,极氪009光辉占了周鸿祎三个第一次第一次摸车钥匙，第一次提车，第一次买新能源车，因为以前都是司机代劳。有钱人的生活，我理解不了一点……我也不羡慕，真的……#周鸿祎喜提极氪009光辉##极氪009光辉##极氪#L电动车公社哔哔机的微博视频,,,,"周鸿祎喜提极氪009光辉,极氪009光辉,极氪",35,108,245,2024-05-24 10:58,微博视频号,,"http://f.video.weibocdn.com/o0/eVjrUCnzlx08f6gFvA8801041200frce0E010.mp4?label=mp4_720p&template=1256x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723489&ssig=5vFD%2Fw0Lry&KID=unistore,video",,北京,红V
5037517878068070,OfK0HxQSa,6102587194,JackyQ_Talking,@飞走的云520昨天发了个微博询问为什么工信部不再公布新能源汽车30分钟持续最高车速。我解释一下：（图片来自他的微博）1.新能源汽车现在有三个名单，叫做《道路机动车辆生产企业及产品》，《享受车船税减免优惠的节约能源使用新能源汽车车型目录》，《免征车辆购置税的新能源汽车车型目录》，第一个是准入，后两个看名字就看得出来。但是在2023年之前，还有一个名录，叫做《新能源汽车推广应用推荐车型目录》，工信部在发布这个目录的时候，会配上一个叫做《车型主要参数》的文件，包含了车辆的主要技术信息，其中，不仅包括车辆的极速，还包括了车辆在30分钟条件下能达到的持续最高车速。2.为什么这个信息现在不公布了呢？这是因为《新能源汽车推广应用推荐车型目录》是用来支持国家新能源补贴的，更详细的技术条目是用来支持补贴计算和车型规范讨论的信息。其实，30分钟最高车速，在一开始其实是为了车型分级，尤其是为微型电动车可能的分级准备的。因为在当时，以第一代的miniEV为代表，虽然其极限速度也能达到100kph，看似满足在高速行驶的条件，然而其30分钟持续最高车速仅有80kph。因此，工信部在2021年改版的关于《纯电动乘用车技术条件》修订版中，将按照GB/T18385试验方法下30分钟的最高车速从80kph提升到100kph。由于当时miniEV等微型电动车暴涨，模糊了与老头乐的界限，但是如果上了高速又是移动路障。所以提升这个标准来引导微型电动车提升技术条件，如果不满足则对其采用不给予补贴等方法惩罚。3.这个参数是否有意义？当然有意义。电机是一种和发动机完全不同的动力产生机构，最大的特点就是它能“超频”。对于发动机来说，只有最大功率。但是对于电动机来说，它有峰值功率和额定功率两个参数，而且峰值功率往往是额定功率的2倍。峰值功率是瞬时的，额定功率才是稳定输出的功率，这几年来，甚至还可以配合传播表演“超超频”输出。例如，最近我们经常看到很多车企在刷新所谓的最大电机速度，但是你会发现他们都是单独的拿电机，在外部通风冷却做的很好的条件下单独测试电机转速，而且只要转速表一到，拍摄完成，就结束了。采用这种方法，原设计最高1.6万转的电机，可以表演2万转，原设计最高1.9万转的电机，可以表演2.2万转甚至更高（取决于试验室匹配的条件）。当然，一到就要尽快降下来，否则电机甚至有可能炸了。对于这类电机的企业，我会认真的问一下他们的实际传动速比是多少，然后我们就可以计算得到车子极速对应的电机转速是多少。然后你会发现，这个电机转速往往是低于他们宣传的超越行业的电机转速记录的。换言之，即便这些车辆的极速很高，实际上车辆到极速也达不到他们宣称的电机最大转速。然后这些企业会说：我们的极速已经很快乐，但是我们还有余量！然而事实是，这恰恰证明了他们的所谓电机最大转速根本用不到，这是妥妥的丧事喜办。我们收回来，所以即便没有上面说的这些，还是有很多企业会剑走偏锋，它的车子的最高车速是不可持续。比如说，2022年公告的路特斯顶配，极速是265kph，但是30分钟的最高车速只能维持到200kph。这已经是公告历史上最快的30分钟最高车速了。而凯迪拉克锐歌的四驱版，极速是210kph，但30分钟最高车速同样是200kph。也就是说超高车速的维持性，锐歌也是已公告车型中的顶配。而整个奥特能平台都维持了这种表现，例如别克E5极速180，30分钟最高车速也是180kph，凯迪拉克锐歌的非顶配版，最高车速是190和200kph的，30分钟最高车速也是一模一样的190kph和200kph。而与此同时，很多国产品牌，最高车速210kph、215kph，30分钟持续车速只能做到170kph。最夸张的是以智能化和性能著称的品牌，2022款居然极速170kph，然后30分钟只能维持到150kph。所以我们业内人常说，这个表单就是个照妖镜。那么有人说：车子又开不到这么快，有意义吗？当然有。30分钟持续车速说是考核车速高低，但是实际上代表的是电机的持久力，尤其是对冷却系统是一个很大的考验。这种冷却不仅表现在高速，同样表现在多次加速后的加速一致性以及热衰退方面的问题。不仅仅是电机，还有电池和整个电力电子的冷却。例如说，某个网红电动车，用户在高速上动态加速，驾驶习惯稍微激烈一点就会出现加速能力明显下降，甚至会出现过热提示表明不能持续了。性能的落差就会导致驾驶预期的落差，这对于用户高速行驶中带来很大的风险，尤其是第一个落差出现后，用户可能产生恐慌心态，然后就有可能产生后续的错误操作。‘更恐怖的是120kph以上的超车，有些车为了超车加速到了140kph后，加速踏板的持续加速能力完全丧失，换道就会很容易发生因为预期落差产生的事故。这种情况不仅发生在电动车上，混动车也会发生。例如宝马i3s增程版，在美国加州为了满足补贴要求，采用的电池完全匮电后再启动发动机，结果带来了高速性能下降和最高车速下降，引发的集体诉讼案直到今天在美国的几个州法庭还在继续中。同样的，在测试中，是理想环境，但是在实际中，比如说环境温度高达35摄氏度以上，车辆长时间爬坡（比如西南山区），甚至非标道路的爬坡。很多纯电和混动的车子甚至直接冒烟和前舱炸了起火的都有。很遗憾，随着2023年补贴终止，工信部不再测试和公布这个工况了。但是，这个试验工况在上汽通用依然是标准工况，而且上汽通用的标准更加直接，就是高环持续30分钟持续跑。比如最新的GL8插混和探界者PLUS插混，极速180kph，30分钟持续最高车速同样是180kph，而且我们说30分钟，不是只能跑30分钟，而是考试满分就是30分钟，GL8插混和探界者PLUS插混在上周的实测中，包括内测媒体在内大量第三方都证实了，可以轻松实现180kph高环一直跑，动力毫不衰竭。#微博新知##我与汽车的日常##大v聊车#,,,飞走的云520,"微博新知,我与汽车的日常,大v聊车",85,35,158,2024-05-24 11:28,微博网页版,"https://wx1.sinaimg.cn/large/006EZPHIly1hq0g3oku45j30ze0k3jyf.jpg,https://wx4.sinaimg.cn/large/006EZPHIly1hq0g3p8tf5j314s0jrk08.jpg,https://wx3.sinaimg.cn/large/006EZPHIly1hq0g3pwcb9j30zh0klgw8.jpg,https://wx4.sinaimg.cn/large/006EZPHIly1hq0g3qiov1j30rf0cswib.jpg,https://wx3.sinaimg.cn/large/006EZPHIly1hq0g3qz9aqj312s0ltq8h.jpg,https://wx2.sinaimg.cn/large/006EZPHIly1hq0g3rei4nj30vw0iqn3b.jpg,https://wx1.sinaimg.cn/large/006EZPHIly1hq0g3nzp94j311t0klq9t.jpg,https://wx2.sinaimg.cn/large/006EZPHIly1hq0g3s2wabj30vr0trn2t.jpg,https://wx3.sinaimg.cn/large/006EZPHIly1hq0g3shsmcj315p0k2n4m.jpg",,,上海,红V
5037086755259885,OfyNlm4kR,1564834725,平原公子赵胜,#美国为什么发展不了新能源汽车产业#美国人正在吐槽，“中国人可以轻松造一辆1万美元的新能源汽车，而我们美国的电动车起码要3到5万美元，我们根本买不起，为什么”？“美国政府限制了中国汽车进入美国，逼着我们不得不买更贵的美国车，特朗普说要制裁墨西哥生产的中国汽车，拜登更虚伪，满嘴环保……他们实际上都是不想让美国人开上车……”美国专家解释：“其实不只是汽车，还有其他产业，我也支持产业回归美国，比如半导体行业，你看我们制裁中国后，还试图把芯片制造厂搬回美国，但实际上屁都没建出来……做不到嘛！”看完这段对话，我的反应有两点：1、太伟大了，哈耶克，太伟大了，市场经济，生产力流向的方向，不是天堂也是食堂；生产力逃离的地方，不是地狱也是监狱……所以最好的工业产品不适合在北美监狱生产，更适合在东方食堂生产。2、美国人GDP真的很虚，美国人的消费水平真的很差，天天开动核动力印钞机，美国人人均GDP六七万，结果普通美国人买个3万5万美元的车都扣扣索索拿不出钱来。他们居高不下的GDP，都是通胀、律师费、娱乐、医疗问诊堆出来的……还记得和医生聊天几分钟就收到几千美元账单吗？根据美国劳工统计局自己统计的数据，美国家庭一年的居住支出高达2万4千美元，居住支出包括房贷，房产税，维修，水电煤燃气……医疗支出5837美元；保险及养老金支出8756美元；食品烟酒9339美元；最高的是交通支出，高达12258美元……因为美国基础设施衰败、公共交通几十年拉胯，出门除了两条腿就不得不开车，没车就等于没有腿，所以美国人普通人就是贷款也要买个车，而目前，他们开始吐槽“3万美元的车已经买不起了”。殖人们吹的美国收入高，刷盘子要饭都能财务自由完全就是梦呓，美国人挣美元花美元，每个月的水电住房固定消费都得大几千美元，兜里能剩几个钱？背着一大堆学贷、房贷、车贷、医疗债务，又有几个人能够拿出1万美元？疫情期间爆出过美国人均可拿出的现金只有400美元……干点啥都得贷款；这世界霸主、老牌发达国家的真实水平，也就这样嘛！实际上，美国精英不是不明白中国汽车物美价廉，新能源车品质水平远超日系美系……也不是不知道新能源汽车产业不可能转移到美国……但他们没办法，因为只要放开封锁、拥抱自由贸易。美国本土的整个汽车产业都会在短时间内一败涂地，消亡成为历史记忆。所以，他们不得不垂死挣扎一下。#把经贸问题政治化只会阻碍美国汽车产业发展##微博新知博主#,,,,"美国为什么发展不了新能源汽车产业,把经贸问题政治化只会阻碍美国汽车产业发展,微博新知博主",175,124,1889,2024-05-23 06:55,HUAWEI Mate 60 Pro+,"https://wx1.sinaimg.cn/large/5d457ba5ly1hpy4x0grjcj20ve0guwg8.jpg,https://wx3.sinaimg.cn/large/5d457ba5ly1hpy4xu4oicj20ve0gtabp.jpg,https://wx1.sinaimg.cn/large/5d457ba5ly1hpy4xg7cezj20ve0h0407.jpg,https://wx2.sinaimg.cn/large/5d457ba5ly1hpy4y4ikv8j20ve0h3tac.jpg,https://wx1.sinaimg.cn/large/5d457ba5ly1hpy4xmcpyrj20ve0gvwg2.jpg,https://wx4.sinaimg.cn/large/5d457ba5ly1hpy4yskqn4j20ve0grmyr.jpg,https://wx3.sinaimg.cn/large/5d457ba5ly1hpy4z08i63j20ve0h0407.jpg,https://wx1.sinaimg.cn/large/5d457ba5ly1hpy4ylp9zoj20ve0h2myu.jpg,https://wx2.sinaimg.cn/large/5d457ba5ly1hpy4zig3gaj20ve0h5dhj.jpg",,,江苏,金V
